n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size,chromatic_number_norm,clique_number_norm,max_independent_set_size_norm,domination_number_norm,min_clique_cover_size_norm,chromatic_to_clique_ratio,chromatic_to_max_independent_ratio,clique_to_max_independent_ratio,domination_to_clique_ratio,min_clique_cover_to_chromatic_ratio,n_bin_medium,n_bin_large
300,1,127,115,4,265,6,0.42333333333333334,0.38333333333333336,0.013333333333333334,0.8833333333333333,0.02,1.1043478260869566,31.75,28.75,2.3043478260869565,0.047244094488188976,True,False
200,0,75,68,5,191,7,0.375,0.34,0.025,0.955,0.035,1.1029411764705883,15.0,13.6,2.8088235294117645,0.09333333333333334,True,False
200,1,83,68,4,177,6,0.415,0.34,0.02,0.885,0.03,1.2205882352941178,20.75,17.0,2.6029411764705883,0.07228915662650602,True,False
150,0,65,49,4,85,5,0.43333333333333335,0.32666666666666666,0.02666666666666667,0.5666666666666667,0.03333333333333333,1.3265306122448979,16.25,12.25,1.7346938775510203,0.07692307692307693,True,False
250,0,93,78,4,193,6,0.372,0.312,0.016,0.772,0.024,1.1923076923076923,23.25,19.5,2.4743589743589745,0.06451612903225806,True,False
350,0,131,112,5,271,6,0.3742857142857143,0.32,0.014285714285714285,0.7742857142857142,0.017142857142857144,1.1696428571428572,26.2,22.4,2.419642857142857,0.04580152671755725,False,True
25,1,12,10,3,11,3,0.48,0.4,0.12,0.44,0.12,1.2,4.0,3.3333333333333335,1.1,0.25,False,False
500,1,204,195,5,414,6,0.408,0.39,0.01,0.828,0.012,1.0461538461538462,40.8,39.0,2.123076923076923,0.029411764705882353,False,True
25,0,12,10,3,9,4,0.48,0.4,0.12,0.36,0.16,1.2,4.0,3.3333333333333335,0.9,0.3333333333333333,False,False
450,1,195,151,4,383,5,0.43333333333333335,0.33555555555555555,0.008888888888888889,0.8511111111111112,0.011111111111111112,1.2913907284768211,48.75,37.75,2.5364238410596025,0.02564102564102564,False,True
250,0,80,76,6,196,7,0.32,0.304,0.024,0.784,0.028,1.0526315789473684,13.333333333333334,12.666666666666666,2.5789473684210527,0.0875,True,False
450,1,197,160,5,378,6,0.43777777777777777,0.35555555555555557,0.011111111111111112,0.84,0.013333333333333334,1.23125,39.4,32.0,2.3625,0.030456852791878174,False,True
