n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size
300,1,141,123,10,295,12
200,0,58,56,12,195,15
200,1,102,90,10,198,12
150,0,49,47,7,146,8
250,0,75,75,9,241,12
350,0,112,100,13,341,14
25,1,14,11,5,22,5
500,1,222,207,11,491,15
25,0,13,8,7,22,7
450,1,202,194,11,450,13
250,0,74,74,10,248,12
450,1,211,207,11,447,13
250,0,93,93,11,241,14
500,1,233,224,15,493,16
250,0,69,66,10,241,12
300,1,135,132,11,292,13
150,0,49,46,11,142,12
50,0,18,15,6,30,7
50,0,18,18,6,45,7
150,0,39,39,9,142,12
100,0,41,41,7,86,9
200,1,100,93,8,196,9
200,0,58,50,8,165,11
250,1,121,110,9,235,11
200,0,62,62,8,185,11
150,1,77,71,7,144,7
100,1,51,46,8,94,9
300,1,117,110,12,292,14
300,0,85,85,11,292,12
350,0,96,89,10,344,13
400,1,201,170,17,397,17
300,0,103,103,9,295,13
450,1,190,179,9,434,12
400,0,117,117,11,373,15
50,1,24,18,7,48,8
350,1,153,148,10,345,13
250,0,79,79,11,240,13
350,1,165,156,10,345,12
300,1,134,122,10,293,12
150,1,59,59,11,147,12
150,0,48,48,10,145,11
100,1,49,30,7,95,9
500,1,238,232,14,494,16
500,0,175,170,11,489,13
200,0,59,59,11,185,13
300,1,149,132,9,296,11
400,0,129,129,14,387,16
150,0,45,44,10,142,10
100,1,43,37,10,96,11
100,0,34,34,9,96,11
500,0,149,149,12,488,15
250,1,118,110,9,247,12
100,0,29,27,9,93,9
300,1,151,146,10,293,12
200,0,60,58,9,183,10
500,1,223,200,15,492,17
500,0,189,189,9,492,13
50,1,24,20,5,40,6
400,0,113,111,11,392,15
50,0,22,21,5,37,6
25,1,14,13,4,18,6
350,1,163,158,12,339,13
250,1,116,83,10,249,12
25,1,15,15,5,24,6
500,1,225,219,12,497,15
25,1,11,11,5,22,6
150,1,78,78,8,144,9
300,1,139,139,8,293,10
25,1,14,11,5,22,5
200,0,60,60,8,193,9
200,1,88,88,10,197,12
250,0,72,72,11,242,14
500,1,241,237,14,498,16
100,0,46,46,10,95,11
250,1,131,115,9,242,11
25,0,8,7,7,19,8
25,1,10,10,3,11,3
100,0,32,31,9,92,11
350,0,112,112,10,335,13
100,1,40,36,8,97,10
500,0,183,166,12,488,15
100,0,30,26,8,78,9
50,1,23,23,6,46,8
100,1,51,47,5,99,7
300,1,125,125,12,293,14
450,0,136,136,12,439,15
100,1,43,42,8,98,9
350,0,116,113,10,343,12
450,1,205,194,14,442,16
150,0,44,44,11,140,14
50,0,15,14,7,47,9
50,0,17,17,8,34,10
150,0,50,50,9,143,10
250,0,83,81,10,245,12
450,0,145,145,14,440,15
300,1,130,127,11,294,13
500,1,223,218,12,492,14
200,0,71,71,9,190,12
400,0,123,120,13,392,14
300,1,149,143,10,281,12
250,1,116,112,11,241,13
450,1,206,194,15,442,16
350,0,105,105,11,341,14
250,1,105,94,9,242,11
100,1,52,34,8,93,9
300,0,96,89,11,291,12
150,1,66,51,10,145,11
50,0,18,18,9,45,10
200,0,64,61,11,190,13
400,0,129,127,11,389,14
350,1,162,127,12,342,13
25,0,8,8,7,23,8
450,1,203,196,12,442,13
200,1,89,89,9,193,10
100,1,36,36,7,94,9
400,1,184,171,13,394,16
400,0,142,142,12,393,14
350,0,102,102,10,340,14
400,0,120,119,11,391,13
150,1,64,60,9,141,11
100,1,47,47,6,84,8
50,0,18,15,9,48,9
400,0,134,132,10,391,13
25,0,10,9,6,25,7
250,1,122,116,11,250,12
50,0,13,11,8,45,8
250,1,120,117,10,242,11
150,1,74,60,8,145,10
500,1,220,214,13,497,16
25,0,10,9,7,20,7
500,1,232,221,12,493,14
250,0,72,65,11,217,13
250,0,82,82,10,242,12
200,0,69,69,9,194,10
25,1,9,9,4,21,5
50,1,27,20,6,47,6
300,1,133,130,11,282,14
450,1,205,187,12,441,16
50,0,21,20,8,45,8
450,1,215,205,12,444,13
450,0,156,155,12,441,13
250,0,73,72,9,233,12
200,0,67,65,9,192,10
25,1,13,13,5,17,6
50,0,17,16,6,44,7
100,1,44,44,8,95,10
100,0,37,33,7,95,9
25,1,12,12,3,22,4
250,0,84,82,10,225,12
50,1,28,19,5,50,6
100,1,53,46,5,96,7
300,0,96,96,10,281,12
50,0,15,15,7,47,8
450,1,226,187,9,441,11
400,0,122,121,12,388,15
50,0,21,21,7,48,7
350,1,156,150,12,343,13
200,0,66,66,12,194,14
500,1,220,220,12,499,15
25,1,15,9,5,21,5
150,1,72,58,12,148,13
250,0,68,65,12,245,13
50,0,15,15,7,47,10
100,0,29,29,9,94,10
250,0,96,84,9,242,11
300,0,103,101,10,294,12
300,1,131,124,12,290,13
25,1,13,11,3,12,4
500,1,227,216,12,489,14
300,0,92,92,11,293,13
400,1,181,155,10,397,12
200,0,60,54,13,192,14
