n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size
300,1,127,115,4,265,6
200,0,75,68,5,191,7
200,1,83,68,4,177,6
150,0,65,49,4,85,5
250,0,93,78,4,193,6
350,0,131,112,5,271,6
25,1,12,10,3,11,3
500,1,204,195,5,414,6
25,0,12,10,3,9,4
450,1,195,151,4,383,5
250,0,80,76,6,196,7
450,1,197,160,5,378,6
250,0,93,81,5,175,6
500,1,236,222,5,437,6
250,0,89,75,5,160,7
300,1,123,121,4,245,6
150,0,53,47,5,130,6
50,0,20,18,3,21,4
50,0,19,17,5,48,6
150,0,50,48,5,120,7
100,0,35,31,4,42,5
200,1,87,73,6,170,6
200,0,85,66,6,145,7
250,1,105,83,6,215,6
200,0,75,61,5,191,6
150,1,67,54,4,132,5
100,1,47,44,4,37,5
300,1,134,101,5,240,6
300,0,114,109,5,223,7
350,0,147,132,4,255,6
400,1,169,145,4,323,6
300,0,122,107,5,245,7
450,1,193,187,5,383,6
400,0,139,131,6,346,7
50,1,27,27,4,43,5
350,1,143,113,5,341,6
250,0,101,74,5,197,6
350,1,163,148,5,265,6
300,1,140,97,4,134,5
150,1,68,54,4,67,5
150,0,69,49,4,120,5
100,1,45,45,5,85,6
500,1,229,210,6,457,6
500,0,172,152,5,403,7
200,0,75,65,5,154,6
300,1,137,100,4,235,5
400,0,139,131,5,339,7
150,0,62,55,5,131,6
100,1,42,42,4,38,5
100,0,34,29,4,81,6
500,0,174,162,5,460,7
250,1,106,94,4,216,6
100,0,40,31,5,97,6
300,1,129,111,4,245,6
200,0,75,63,5,160,6
500,1,223,178,6,452,7
500,0,191,154,6,494,7
50,1,29,22,3,26,4
400,0,154,143,5,378,8
50,0,18,14,4,43,5
25,1,13,10,3,20,4
350,1,145,132,5,215,5
250,1,116,109,3,224,5
25,1,15,11,3,11,4
500,1,213,198,5,441,7
25,1,10,8,3,7,4
150,1,68,48,3,135,5
300,1,126,111,5,291,6
25,1,14,10,4,17,4
200,0,80,68,5,156,6
200,1,95,71,5,164,5
250,0,95,78,4,185,6
500,1,223,191,5,426,6
100,0,36,28,4,73,6
250,1,109,99,5,246,6
25,0,9,9,4,15,5
25,1,16,11,4,22,5
100,0,36,30,5,77,6
350,0,122,109,6,325,7
100,1,51,50,3,67,5
500,0,185,164,5,437,7
100,0,36,34,6,73,6
50,1,26,22,3,24,4
100,1,47,42,4,54,5
300,1,135,123,4,246,5
450,0,168,134,6,352,7
100,1,47,36,3,51,4
350,0,123,118,5,335,7
450,1,194,146,6,378,6
150,0,55,51,5,135,7
50,0,20,16,4,32,5
50,0,25,21,4,22,4
150,0,60,47,6,131,7
250,0,80,78,7,233,8
450,0,159,148,6,337,7
300,1,133,109,5,214,6
500,1,221,187,4,336,5
200,0,74,60,4,142,6
400,0,150,132,5,384,7
300,1,145,128,4,292,6
250,1,113,91,4,223,5
450,1,186,181,5,431,7
350,0,128,104,5,269,7
250,1,117,86,4,220,6
100,1,47,33,3,45,4
300,0,108,103,6,295,7
150,1,77,76,4,125,5
50,0,24,18,4,33,5
200,0,75,62,5,173,6
400,0,144,137,5,377,7
350,1,163,131,4,303,6
25,0,12,9,4,15,4
450,1,183,165,5,380,6
200,1,93,71,5,176,6
100,1,43,35,4,94,5
400,1,172,151,4,349,6
400,0,149,129,5,316,6
350,0,114,110,6,319,8
400,0,141,121,5,299,7
150,1,60,51,4,114,5
100,1,45,34,4,51,4
50,0,18,15,5,43,6
400,0,139,127,5,312,7
25,0,12,11,4,12,5
250,1,108,94,5,223,6
50,0,17,13,5,47,6
250,1,120,91,4,149,5
