n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size,chromatic_number_norm,clique_number_norm,max_independent_set_size_norm,domination_number_norm,min_clique_cover_size_norm,chromatic_to_clique_ratio,chromatic_to_max_independent_ratio,clique_to_max_independent_ratio,domination_to_clique_ratio,min_clique_cover_to_chromatic_ratio,chromatic_minus_clique,min_clique_cover_minus_chromatic,max_independent_plus_clique,chromatic_number_sq,clique_number_sq,max_independent_set_size_sq,chromatic_clique_product,chromatic_number_log,clique_number_sqrt,n_sq,n_inv,n_bin_medium,n_bin_large,chromatic_number_norm_x_clique_number_norm
300,1,141,123,10,295,12,0.47,0.41,0.03333333333333333,0.9833333333333333,0.04,1.146341463414634,14.1,12.3,2.3983739837398375,0.0851063829787234,18,-129,133,19881,15129,100,17343,4.955827057601261,11.090536506409418,90000,0.0033333333333333335,True,False,0.19269999999999998
200,0,58,56,12,195,15,0.29,0.28,0.06,0.975,0.075,1.0357142857142858,4.833333333333333,4.666666666666667,3.482142857142857,0.25862068965517243,2,-43,68,3364,3136,144,3248,4.07753744390572,7.483314773547883,40000,0.005,True,False,0.08120000000000001
200,1,102,90,10,198,12,0.51,0.45,0.05,0.99,0.06,1.1333333333333333,10.2,9.0,2.2,0.11764705882352941,12,-90,100,10404,8100,100,9180,4.634728988229636,9.486832980505138,40000,0.005,True,False,0.2295
150,0,49,47,7,146,8,0.32666666666666666,0.31333333333333335,0.04666666666666667,0.9733333333333334,0.05333333333333334,1.0425531914893618,7.0,6.714285714285714,3.106382978723404,0.16326530612244897,2,-41,54,2401,2209,49,2303,3.912023005428146,6.855654600401044,22500,0.006666666666666667,True,False,0.10235555555555556
250,0,75,75,9,241,12,0.3,0.3,0.036,0.964,0.048,1.0,8.333333333333334,8.333333333333334,3.2133333333333334,0.16,0,-63,84,5625,5625,81,5625,4.330733340286331,8.660254037844387,62500,0.004,True,False,0.09
350,0,112,100,13,341,14,0.32,0.2857142857142857,0.037142857142857144,0.9742857142857143,0.04,1.12,8.615384615384615,7.6923076923076925,3.41,0.125,12,-98,113,12544,10000,169,11200,4.727387818712341,10.0,122500,0.002857142857142857,False,True,0.09142857142857143
25,1,14,11,5,22,5,0.56,0.44,0.2,0.88,0.2,1.2727272727272727,2.8,2.2,2.0,0.35714285714285715,3,-9,16,196,121,25,154,2.70805020110221,3.3166247903554,625,0.04,False,False,0.24640000000000004
500,1,222,207,11,491,15,0.444,0.414,0.022,0.982,0.03,1.0724637681159421,20.181818181818183,18.818181818181817,2.3719806763285023,0.06756756756756757,15,-207,218,49284,42849,121,45954,5.407171771460119,14.38749456993816,250000,0.002,False,True,0.18381599999999998
25,0,13,8,7,22,7,0.52,0.32,0.28,0.88,0.28,1.625,1.8571428571428572,1.1428571428571428,2.75,0.5384615384615384,5,-6,15,169,64,49,104,2.6390573296152584,2.8284271247461903,625,0.04,False,False,0.16640000000000002
450,1,202,194,11,450,13,0.4488888888888889,0.4311111111111111,0.024444444444444446,1.0,0.028888888888888888,1.041237113402062,18.363636363636363,17.636363636363637,2.3195876288659796,0.06435643564356436,8,-189,205,40804,37636,121,39188,5.313205979041787,13.92838827718412,202500,0.0022222222222222222,False,True,0.193520987654321
